frame,line,hc,hasIRQ,status,pc,opcode,cycles,accepted
0,31,51,0,0x00,0x007F,0xED,21,0
0,31,75,0,0x00,0x007F,0xED,21,0
0,31,98,0,0x00,0x007F,0xED,21,0
0,31,122,0,0x00,0x007F,0xED,21,0
0,31,145,0,0x00,0x007F,0xED,21,0
0,31,176,0,0x00,0x007F,0xED,21,0
0,31,176,0,0x00,0x007F,0xED,21,0
0,31,176,0,0x00,0x007F,0xED,21,0
0,31,176,0,0x00,0x007F,0xED,21,0
0,32,0,0,0x00,0x007F,0xED,21,0
0,32,31,0,0x00,0x007F,0xED,21,0
0,32,55,0,0x00,0x007F,0xED,21,0
0,32,78,0,0x00,0x007F,0xED,21,0
0,32,102,0,0x00,0x007F,0xED,21,0
0,32,125,0,0x00,0x007F,0xED,21,0
0,32,149,0,0x00,0x007F,0xED,21,0
0,32,176,0,0x00,0x007F,0xED,21,0
0,32,176,0,0x00,0x007F,0xED,21,0
0,32,176,0,0x00,0x007F,0xED,21,0
0,32,176,0,0x00,0x007F,0xED,21,0
0,33,0,0,0x00,0x007F,0xED,21,0
0,33,34,0,0x00,0x007F,0xED,21,0
0,33,58,0,0x00,0x007F,0xED,21,0
0,33,81,0,0x00,0x007F,0xED,21,0
0,33,105,0,0x00,0x007F,0xED,21,0
0,33,129,0,0x00,0x007F,0xED,21,0
0,33,152,0,0x00,0x007F,0xED,21,0
0,33,176,0,0x00,0x007F,0xED,21,0
0,33,175,0,0x00,0x007F,0xED,21,0
0,33,176,0,0x00,0x007F,0xED,21,0
0,33,176,0,0x00,0x007F,0xED,21,0
0,34,0,0,0x00,0x007F,0xED,21,0
0,34,38,0,0x00,0x007F,0xED,21,0
0,34,61,0,0x00,0x007F,0xED,21,0
0,34,85,0,0x00,0x007F,0xED,21,0
0,34,108,0,0x00,0x007F,0xED,21,0
0,34,132,0,0x00,0x007F,0xED,21,0
0,34,176,0,0x00,0x007F,0xED,21,0
0,34,176,0,0x00,0x007F,0xED,21,0
0,34,175,0,0x00,0x007F,0xED,21,0
0,34,176,0,0x00,0x007F,0xED,21,0
0,34,176,0,0x00,0x007F,0xED,21,0
0,35,17,0,0x00,0x007F,0xED,21,0
0,35,41,0,0x00,0x007F,0xED,21,0
0,35,65,0,0x00,0x007F,0xED,21,0
0,35,88,0,0x00,0x007F,0xED,21,0
0,35,112,0,0x00,0x007F,0xED,21,0
0,35,135,0,0x00,0x007F,0xED,21,0
0,35,176,0,0x00,0x007F,0xED,21,0
0,35,176,0,0x00,0x007F,0xED,21,0
0,35,175,0,0x00,0x007F,0xED,21,0
0,35,176,0,0x00,0x007F,0xED,21,0
0,35,176,0,0x00,0x007F,0xED,21,0
0,36,21,0,0x00,0x007F,0xED,21,0
0,36,44,0,0x00,0x007F,0xED,21,0
0,36,68,0,0x00,0x007F,0xED,21,0
0,36,92,0,0x00,0x007F,0xED,21,0
0,36,115,0,0x00,0x007F,0xED,21,0
0,36,139,0,0x00,0x007F,0xED,21,0
0,36,176,0,0x00,0x007F,0xED,21,0
0,36,176,0,0x00,0x007F,0xED,21,0
0,36,175,0,0x00,0x007F,0xED,21,0
0,36,176,0,0x00,0x007F,0xED,21,0
0,37,0,0,0x00,0x007F,0xED,21,0
0,37,24,0,0x00,0x007F,0xED,21,0
0,37,48,0,0x00,0x007F,0xED,21,0
0,37,71,0,0x00,0x007F,0xED,21,0
0,37,95,0,0x00,0x007F,0xED,21,0
0,37,119,0,0x00,0x007F,0xED,21,0
0,37,142,0,0x00,0x007F,0xED,21,0
0,37,176,0,0x00,0x007F,0xED,21,0
0,37,176,0,0x00,0x007F,0xED,21,0
0,37,176,0,0x00,0x007F,0xED,21,0
0,37,176,0,0x00,0x007F,0xED,21,0
0,38,0,0,0x00,0x007F,0xED,21,0
0,38,28,0,0x00,0x007F,0xED,21,0
0,38,51,0,0x00,0x007F,0xED,21,0
0,38,75,0,0x00,0x007F,0xED,21,0
0,38,98,0,0x00,0x007F,0xED,21,0
0,38,122,0,0x00,0x007F,0xED,21,0
0,38,145,0,0x00,0x007F,0xED,21,0
0,38,176,0,0x00,0x007F,0xED,21,0
0,38,176,0,0x00,0x007F,0xED,21,0
0,38,176,0,0x00,0x007F,0xED,21,0
0,38,176,0,0x00,0x007F,0xED,21,0
0,39,0,0,0x00,0x007F,0xED,21,0
0,39,31,0,0x00,0x007F,0xED,21,0
0,39,55,0,0x00,0x007F,0xED,21,0
0,39,78,0,0x00,0x007F,0xED,21,0
0,39,102,0,0x00,0x007F,0xED,21,0
0,39,125,0,0x00,0x007F,0xED,21,0
0,39,149,0,0x00,0x007F,0xED,21,0
0,39,176,0,0x00,0x007F,0xED,21,0
0,39,176,0,0x00,0x007F,0xED,21,0
0,39,176,0,0x00,0x007F,0xED,21,0
0,39,176,0,0x00,0x007F,0xED,21,0
0,40,0,0,0x00,0x007F,0xED,21,0
0,40,34,0,0x00,0x007F,0xED,21,0
0,40,58,0,0x00,0x007F,0xED,21,0
0,40,81,0,0x00,0x007F,0xED,21,0
0,40,105,0,0x00,0x007F,0xED,21,0
0,40,129,0,0x00,0x007F,0xED,21,0
0,40,152,0,0x00,0x007F,0xED,21,0
0,40,176,0,0x00,0x007F,0xED,21,0
0,40,175,0,0x00,0x007F,0xED,21,0
0,40,176,0,0x00,0x007F,0xED,21,0
0,40,176,0,0x00,0x007F,0xED,21,0
0,41,0,0,0x00,0x007F,0xED,21,0
0,41,38,0,0x00,0x007F,0xED,21,0
0,41,61,0,0x00,0x007F,0xED,21,0
0,41,85,0,0x00,0x007F,0xED,21,0
0,41,108,0,0x00,0x007F,0xED,21,0
0,41,132,0,0x00,0x007F,0xED,21,0
0,41,176,0,0x00,0x007F,0xED,21,0
0,41,176,0,0x00,0x007F,0xED,21,0
0,41,175,0,0x00,0x007F,0xED,21,0
0,41,176,0,0x00,0x007F,0xED,21,0
0,41,176,0,0x00,0x007F,0xED,21,0
0,42,17,0,0x00,0x007F,0xED,21,0
0,42,41,0,0x00,0x007F,0xED,21,0
0,42,65,0,0x00,0x007F,0xED,21,0
